LifeZone,AIDBSPP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Boreal wet forest,Red alder,0.0,0.18523029387462753,0.629055332756021,1.277967838247271,2.10378833938125,3.0863053488865018,4.209477855251708,5.4598911029234385,6.825966974699938,8.297502396381908,9.865374100108243,11.521337053862615,13.25787981656681,15.068116580842252,16.94570399053094,18.884775338857736,20.879887354244627,22.92597635209606,25.01832151926133,27.152513741382254,29.324428814926204,31.530204182770156,33.76621854139194,36.02907381804982,38.31557912633178,40.62273639027309,42.94772738900052,45.28790202111433,47.640767624618064,50.00397921687677,52.375330541779434,54.752745829420185,57.13427218824053,59.51807256147072,61.90241918945773,64.28568752751598,66.66635057562785,69.04297358191977,71.41420908655057,73.77879227663954,76.13553662625755,78.48332979841001,80.82112978844035,83.14796129044005,85.46291227012662,87.76513072928047,90.05382164826317,92.32824409439137,94.58770848504831,96.83157399539311,99.05924610139542,101.2701742496986,103.46384964650377,105.63980315828704,107.7976033177182,109.93685442865136,112.05719476450875,114.15829485479156,116.23985585482102,118.3016079941545,120.34330909942814,122.36474318766017,124.36571912630892,126.34606935661424,128.30564867697106,130.24433308328406,132.1620186634367,134.05862054317993,135.93407188090413,137.78832290890423,139.6213400188845,141.4331048895759,143.22361365445764,144.99287610768306,146.7409149464137,148.4677650478612,150.17347277942494,151.85809534039947,153.5217001338028,155.1643641669504,156.78617347947105,158.387222597523,159.96761401303274,161.52745768683573,163.06687057465115,164.5859761748782,166.08490409724476,167.56378965139,169.02277345450236,170.4620010571767,171.88162258669365,173.28179240696025,174.66266879438535,176.02441362899776,177.36719210014547,178.69117242614325,179.9965255872666,181.28342507151473,182.55204663259073,183.80256805957416,185.03516895777994,186.250030540324,187.44733542993353,188.6272674705622,189.7900115483876,190.9357534217882,192.0646795599131,193.17697698947504,194.27283314941232,195.35243575308127,196.415972657654,197.463631740411,198.49560078163026,199.51206735378864,200.51321871680065,201.49924171903442,202.4703227038525,203.4266474214382,204.36840094567572,205.29576759586467,206.208930863056,207.10807334080715,207.9933766601615,208.8650214286658,209.72318717324683,210.5680522867757,211.39979397815574,212.218588225776,213.02460973417968,213.81803189380244,214.5990267436422,215.3677649367259,216.1244157082474,216.8691468462526,217.60212466475517,218.32351397917037,219.03347808395813,219.73217873237323,220.41977611822247,221.0964288595339,221.76229398404723,222.41752691643774,223.06228146718973,223.6967098230394,224.32096253891078,224.9351885312691,225.5395350728232,226.13414778850742,226.71917065267849,227.29474598746566,227.86101446221403,228.41811509396345,228.9661852489094,229.50536064479235,230.03577535416562,230.55756180849448,231.07085080303887,231.57577150247687,232.07245144722657,232.5610165604251,233.041591155527,233.51429794448467,233.9792580464752,234.43659099713977,234.8864147583038,235.32884572814555,235.76399875178515,236.1919871322645,236.612922641891,237.02691553392035,237.43407455455198,237.83450695521535,238.22831850512264,238.615613504068,238.99649479545153,239.3710637795092,239.73942042672945,240.1016632914389,240.45788952554022,240.80819489238547,241.15267378077,241.49141921903194,241.8245228892433,242.15207514147914,242.47416500815243,242.79088021840235,243.10230721252472,243.40853115643336,243.70963595614214,244.00570427225844,244.2968175344774,244.58305595606984,244.8644985483539,245.14122313514346,245.41330636716563,245.6808237364397,245.94384959061185,246.20245714723836,246.45671850801173,246.70670467292402,246.95248555436274
Cool temperate moist forest,Red alder,0.0,0.18523029387462753,0.629055332756021,1.277967838247271,2.10378833938125,3.0863053488865018,4.209477855251708,5.4598911029234385,6.825966974699938,8.297502396381908,9.865374100108243,11.521337053862615,13.25787981656681,15.068116580842252,16.94570399053094,18.884775338857736,20.879887354244627,22.92597635209606,25.01832151926133,27.152513741382254,29.324428814926204,31.530204182770156,33.76621854139194,36.02907381804982,38.31557912633178,40.62273639027309,42.94772738900052,45.28790202111433,47.640767624618064,50.00397921687677,52.375330541779434,54.752745829420185,57.13427218824053,59.51807256147072,61.90241918945773,64.28568752751598,66.66635057562785,69.04297358191977,71.41420908655057,73.77879227663954,76.13553662625755,78.48332979841001,80.82112978844035,83.14796129044005,85.46291227012662,87.76513072928047,90.05382164826317,92.32824409439137,94.58770848504831,96.83157399539311,99.05924610139542,101.2701742496986,103.46384964650377,105.63980315828704,107.7976033177182,109.93685442865136,112.05719476450875,114.15829485479156,116.23985585482102,118.3016079941545,120.34330909942814,122.36474318766017,124.36571912630892,126.34606935661424,128.30564867697106,130.24433308328406,132.1620186634367,134.05862054317993,135.93407188090413,137.78832290890423,139.6213400188845,141.4331048895759,143.22361365445764,144.99287610768306,146.7409149464137,148.4677650478612,150.17347277942494,151.85809534039947,153.5217001338028,155.1643641669504,156.78617347947105,158.387222597523,159.96761401303274,161.52745768683573,163.06687057465115,164.5859761748782,166.08490409724476,167.56378965139,169.02277345450236,170.4620010571767,171.88162258669365,173.28179240696025,174.66266879438535,176.02441362899776,177.36719210014547,178.69117242614325,179.9965255872666,181.28342507151473,182.55204663259073,183.80256805957416,185.03516895777994,186.250030540324,187.44733542993353,188.6272674705622,189.7900115483876,190.9357534217882,192.0646795599131,193.17697698947504,194.27283314941232,195.35243575308127,196.415972657654,197.463631740411,198.49560078163026,199.51206735378864,200.51321871680065,201.49924171903442,202.4703227038525,203.4266474214382,204.36840094567572,205.29576759586467,206.208930863056,207.10807334080715,207.9933766601615,208.8650214286658,209.72318717324683,210.5680522867757,211.39979397815574,212.218588225776,213.02460973417968,213.81803189380244,214.5990267436422,215.3677649367259,216.1244157082474,216.8691468462526,217.60212466475517,218.32351397917037,219.03347808395813,219.73217873237323,220.41977611822247,221.0964288595339,221.76229398404723,222.41752691643774,223.06228146718973,223.6967098230394,224.32096253891078,224.9351885312691,225.5395350728232,226.13414778850742,226.71917065267849,227.29474598746566,227.86101446221403,228.41811509396345,228.9661852489094,229.50536064479235,230.03577535416562,230.55756180849448,231.07085080303887,231.57577150247687,232.07245144722657,232.5610165604251,233.041591155527,233.51429794448467,233.9792580464752,234.43659099713977,234.8864147583038,235.32884572814555,235.76399875178515,236.1919871322645,236.612922641891,237.02691553392035,237.43407455455198,237.83450695521535,238.22831850512264,238.615613504068,238.99649479545153,239.3710637795092,239.73942042672945,240.1016632914389,240.45788952554022,240.80819489238547,241.15267378077,241.49141921903194,241.8245228892433,242.15207514147914,242.47416500815243,242.79088021840235,243.10230721252472,243.40853115643336,243.70963595614214,244.00570427225844,244.2968175344774,244.58305595606984,244.8644985483539,245.14122313514346,245.41330636716563,245.6808237364397,245.94384959061185,246.20245714723836,246.45671850801173,246.70670467292402,246.95248555436274
Cool temperate steppe,Red alder,0.0,0.18523029387462753,0.629055332756021,1.277967838247271,2.10378833938125,3.0863053488865018,4.209477855251708,5.4598911029234385,6.825966974699938,8.297502396381908,9.865374100108243,11.521337053862615,13.25787981656681,15.068116580842252,16.94570399053094,18.884775338857736,20.879887354244627,22.92597635209606,25.01832151926133,27.152513741382254,29.324428814926204,31.530204182770156,33.76621854139194,36.02907381804982,38.31557912633178,40.62273639027309,42.94772738900052,45.28790202111433,47.640767624618064,50.00397921687677,52.375330541779434,54.752745829420185,57.13427218824053,59.51807256147072,61.90241918945773,64.28568752751598,66.66635057562785,69.04297358191977,71.41420908655057,73.77879227663954,76.13553662625755,78.48332979841001,80.82112978844035,83.14796129044005,85.46291227012662,87.76513072928047,90.05382164826317,92.32824409439137,94.58770848504831,96.83157399539311,99.05924610139542,101.2701742496986,103.46384964650377,105.63980315828704,107.7976033177182,109.93685442865136,112.05719476450875,114.15829485479156,116.23985585482102,118.3016079941545,120.34330909942814,122.36474318766017,124.36571912630892,126.34606935661424,128.30564867697106,130.24433308328406,132.1620186634367,134.05862054317993,135.93407188090413,137.78832290890423,139.6213400188845,141.4331048895759,143.22361365445764,144.99287610768306,146.7409149464137,148.4677650478612,150.17347277942494,151.85809534039947,153.5217001338028,155.1643641669504,156.78617347947105,158.387222597523,159.96761401303274,161.52745768683573,163.06687057465115,164.5859761748782,166.08490409724476,167.56378965139,169.02277345450236,170.4620010571767,171.88162258669365,173.28179240696025,174.66266879438535,176.02441362899776,177.36719210014547,178.69117242614325,179.9965255872666,181.28342507151473,182.55204663259073,183.80256805957416,185.03516895777994,186.250030540324,187.44733542993353,188.6272674705622,189.7900115483876,190.9357534217882,192.0646795599131,193.17697698947504,194.27283314941232,195.35243575308127,196.415972657654,197.463631740411,198.49560078163026,199.51206735378864,200.51321871680065,201.49924171903442,202.4703227038525,203.4266474214382,204.36840094567572,205.29576759586467,206.208930863056,207.10807334080715,207.9933766601615,208.8650214286658,209.72318717324683,210.5680522867757,211.39979397815574,212.218588225776,213.02460973417968,213.81803189380244,214.5990267436422,215.3677649367259,216.1244157082474,216.8691468462526,217.60212466475517,218.32351397917037,219.03347808395813,219.73217873237323,220.41977611822247,221.0964288595339,221.76229398404723,222.41752691643774,223.06228146718973,223.6967098230394,224.32096253891078,224.9351885312691,225.5395350728232,226.13414778850742,226.71917065267849,227.29474598746566,227.86101446221403,228.41811509396345,228.9661852489094,229.50536064479235,230.03577535416562,230.55756180849448,231.07085080303887,231.57577150247687,232.07245144722657,232.5610165604251,233.041591155527,233.51429794448467,233.9792580464752,234.43659099713977,234.8864147583038,235.32884572814555,235.76399875178515,236.1919871322645,236.612922641891,237.02691553392035,237.43407455455198,237.83450695521535,238.22831850512264,238.615613504068,238.99649479545153,239.3710637795092,239.73942042672945,240.1016632914389,240.45788952554022,240.80819489238547,241.15267378077,241.49141921903194,241.8245228892433,242.15207514147914,242.47416500815243,242.79088021840235,243.10230721252472,243.40853115643336,243.70963595614214,244.00570427225844,244.2968175344774,244.58305595606984,244.8644985483539,245.14122313514346,245.41330636716563,245.6808237364397,245.94384959061185,246.20245714723836,246.45671850801173,246.70670467292402,246.95248555436274
Cool temperate wet forest,Red alder,0.0,0.18523029387462753,0.629055332756021,1.277967838247271,2.10378833938125,3.0863053488865018,4.209477855251708,5.4598911029234385,6.825966974699938,8.297502396381908,9.865374100108243,11.521337053862615,13.25787981656681,15.068116580842252,16.94570399053094,18.884775338857736,20.879887354244627,22.92597635209606,25.01832151926133,27.152513741382254,29.324428814926204,31.530204182770156,33.76621854139194,36.02907381804982,38.31557912633178,40.62273639027309,42.94772738900052,45.28790202111433,47.640767624618064,50.00397921687677,52.375330541779434,54.752745829420185,57.13427218824053,59.51807256147072,61.90241918945773,64.28568752751598,66.66635057562785,69.04297358191977,71.41420908655057,73.77879227663954,76.13553662625755,78.48332979841001,80.82112978844035,83.14796129044005,85.46291227012662,87.76513072928047,90.05382164826317,92.32824409439137,94.58770848504831,96.83157399539311,99.05924610139542,101.2701742496986,103.46384964650377,105.63980315828704,107.7976033177182,109.93685442865136,112.05719476450875,114.15829485479156,116.23985585482102,118.3016079941545,120.34330909942814,122.36474318766017,124.36571912630892,126.34606935661424,128.30564867697106,130.24433308328406,132.1620186634367,134.05862054317993,135.93407188090413,137.78832290890423,139.6213400188845,141.4331048895759,143.22361365445764,144.99287610768306,146.7409149464137,148.4677650478612,150.17347277942494,151.85809534039947,153.5217001338028,155.1643641669504,156.78617347947105,158.387222597523,159.96761401303274,161.52745768683573,163.06687057465115,164.5859761748782,166.08490409724476,167.56378965139,169.02277345450236,170.4620010571767,171.88162258669365,173.28179240696025,174.66266879438535,176.02441362899776,177.36719210014547,178.69117242614325,179.9965255872666,181.28342507151473,182.55204663259073,183.80256805957416,185.03516895777994,186.250030540324,187.44733542993353,188.6272674705622,189.7900115483876,190.9357534217882,192.0646795599131,193.17697698947504,194.27283314941232,195.35243575308127,196.415972657654,197.463631740411,198.49560078163026,199.51206735378864,200.51321871680065,201.49924171903442,202.4703227038525,203.4266474214382,204.36840094567572,205.29576759586467,206.208930863056,207.10807334080715,207.9933766601615,208.8650214286658,209.72318717324683,210.5680522867757,211.39979397815574,212.218588225776,213.02460973417968,213.81803189380244,214.5990267436422,215.3677649367259,216.1244157082474,216.8691468462526,217.60212466475517,218.32351397917037,219.03347808395813,219.73217873237323,220.41977611822247,221.0964288595339,221.76229398404723,222.41752691643774,223.06228146718973,223.6967098230394,224.32096253891078,224.9351885312691,225.5395350728232,226.13414778850742,226.71917065267849,227.29474598746566,227.86101446221403,228.41811509396345,228.9661852489094,229.50536064479235,230.03577535416562,230.55756180849448,231.07085080303887,231.57577150247687,232.07245144722657,232.5610165604251,233.041591155527,233.51429794448467,233.9792580464752,234.43659099713977,234.8864147583038,235.32884572814555,235.76399875178515,236.1919871322645,236.612922641891,237.02691553392035,237.43407455455198,237.83450695521535,238.22831850512264,238.615613504068,238.99649479545153,239.3710637795092,239.73942042672945,240.1016632914389,240.45788952554022,240.80819489238547,241.15267378077,241.49141921903194,241.8245228892433,242.15207514147914,242.47416500815243,242.79088021840235,243.10230721252472,243.40853115643336,243.70963595614214,244.00570427225844,244.2968175344774,244.58305595606984,244.8644985483539,245.14122313514346,245.41330636716563,245.6808237364397,245.94384959061185,246.20245714723836,246.45671850801173,246.70670467292402,246.95248555436274
Polar rain tundra,Red alder,0.0,0.18523029387462753,0.629055332756021,1.277967838247271,2.10378833938125,3.0863053488865018,4.209477855251708,5.4598911029234385,6.825966974699938,8.297502396381908,9.865374100108243,11.521337053862615,13.25787981656681,15.068116580842252,16.94570399053094,18.884775338857736,20.879887354244627,22.92597635209606,25.01832151926133,27.152513741382254,29.324428814926204,31.530204182770156,33.76621854139194,36.02907381804982,38.31557912633178,40.62273639027309,42.94772738900052,45.28790202111433,47.640767624618064,50.00397921687677,52.375330541779434,54.752745829420185,57.13427218824053,59.51807256147072,61.90241918945773,64.28568752751598,66.66635057562785,69.04297358191977,71.41420908655057,73.77879227663954,76.13553662625755,78.48332979841001,80.82112978844035,83.14796129044005,85.46291227012662,87.76513072928047,90.05382164826317,92.32824409439137,94.58770848504831,96.83157399539311,99.05924610139542,101.2701742496986,103.46384964650377,105.63980315828704,107.7976033177182,109.93685442865136,112.05719476450875,114.15829485479156,116.23985585482102,118.3016079941545,120.34330909942814,122.36474318766017,124.36571912630892,126.34606935661424,128.30564867697106,130.24433308328406,132.1620186634367,134.05862054317993,135.93407188090413,137.78832290890423,139.6213400188845,141.4331048895759,143.22361365445764,144.99287610768306,146.7409149464137,148.4677650478612,150.17347277942494,151.85809534039947,153.5217001338028,155.1643641669504,156.78617347947105,158.387222597523,159.96761401303274,161.52745768683573,163.06687057465115,164.5859761748782,166.08490409724476,167.56378965139,169.02277345450236,170.4620010571767,171.88162258669365,173.28179240696025,174.66266879438535,176.02441362899776,177.36719210014547,178.69117242614325,179.9965255872666,181.28342507151473,182.55204663259073,183.80256805957416,185.03516895777994,186.250030540324,187.44733542993353,188.6272674705622,189.7900115483876,190.9357534217882,192.0646795599131,193.17697698947504,194.27283314941232,195.35243575308127,196.415972657654,197.463631740411,198.49560078163026,199.51206735378864,200.51321871680065,201.49924171903442,202.4703227038525,203.4266474214382,204.36840094567572,205.29576759586467,206.208930863056,207.10807334080715,207.9933766601615,208.8650214286658,209.72318717324683,210.5680522867757,211.39979397815574,212.218588225776,213.02460973417968,213.81803189380244,214.5990267436422,215.3677649367259,216.1244157082474,216.8691468462526,217.60212466475517,218.32351397917037,219.03347808395813,219.73217873237323,220.41977611822247,221.0964288595339,221.76229398404723,222.41752691643774,223.06228146718973,223.6967098230394,224.32096253891078,224.9351885312691,225.5395350728232,226.13414778850742,226.71917065267849,227.29474598746566,227.86101446221403,228.41811509396345,228.9661852489094,229.50536064479235,230.03577535416562,230.55756180849448,231.07085080303887,231.57577150247687,232.07245144722657,232.5610165604251,233.041591155527,233.51429794448467,233.9792580464752,234.43659099713977,234.8864147583038,235.32884572814555,235.76399875178515,236.1919871322645,236.612922641891,237.02691553392035,237.43407455455198,237.83450695521535,238.22831850512264,238.615613504068,238.99649479545153,239.3710637795092,239.73942042672945,240.1016632914389,240.45788952554022,240.80819489238547,241.15267378077,241.49141921903194,241.8245228892433,242.15207514147914,242.47416500815243,242.79088021840235,243.10230721252472,243.40853115643336,243.70963595614214,244.00570427225844,244.2968175344774,244.58305595606984,244.8644985483539,245.14122313514346,245.41330636716563,245.6808237364397,245.94384959061185,246.20245714723836,246.45671850801173,246.70670467292402,246.95248555436274
